Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
1,1360,5,4,3,1970,Downtown,Excellent,0,149919,55
2,4272,5,4,3,1958,Downtown,Excellent,0,424998,67
3,3592,2,2,3,1938,Downtown,Good,0,266746,87
4,966,4,2,2,1902,Suburban,Fair,1,244020,123
5,4926,1,4,2,1975,Downtown,Fair,1,636056,50
6,3944,1,2,1,1906,Urban,Poor,0,93262,119
7,3671,1,1,2,1948,Rural,Poor,1,448722,77
8,3419,2,4,1,1925,Suburban,Good,1,594893,100
9,630,2,2,1,1932,Rural,Poor,1,652878,93
10,2185,3,3,1,2000,Downtown,Poor,0,340375,25
11,1269,1,4,2,1947,Suburban,Poor,1,653685,78
12,2891,4,4,3,1978,Urban,Excellent,1,127123,47
13,2933,4,3,2,1901,Downtown,Poor,0,849947,124
14,1684,1,1,1,2004,Rural,Good,0,399355,21
15,3885,1,3,1,1970,Urban,Fair,1,481838,55
16,4617,1,4,2,1931,Downtown,Poor,0,853032,94
17,3404,2,1,1,1903,Urban,Fair,1,208964,122
18,974,2,2,1,1919,Downtown,Poor,1,905742,106
19,1582,2,2,2,2013,Suburban,Good,0,989305,12
20,3058,5,2,2,2016,Downtown,Excellent,0,218767,9
21,2547,4,4,2,1935,Suburban,Good,1,996357,90
22,3247,4,3,1,1931,Downtown,Excellent,0,709789,94
23,1475,3,1,1,1927,Downtown,Poor,0,709966,98
24,2306,2,2,3,1976,Rural,Poor,1,447694,49
25,689,5,1,3,1900,Urban,Excellent,1,688668,125
26,3234,5,4,2,1959,Urban,Good,1,527032,66
27,3505,4,2,3,1955,Urban,Good,1,745494,70
28,2399,2,4,1,1934,Downtown,Excellent,1,513179,91
29,1767,3,3,3,2011,Downtown,Poor,1,948212,14
30,2028,2,4,1,1929,Downtown,Excellent,0,206547,96
31,3702,1,4,2,1953,Suburban,Poor,0,902609,72
32,4056,2,3,2,1935,Suburban,Excellent,1,727090,90
33,4390,1,1,1,2020,Rural,Poor,0,202185,5
34,1146,1,3,3,1954,Downtown,Excellent,0,725371,71
35,3388,3,3,2,1988,Urban,Fair,1,105746,37
36,2935,4,4,2,1979,Urban,Poor,0,959507,46
37,1100,2,1,3,1957,Rural,Good,0,748213,68
38,2863,1,2,3,1982,Urban,Excellent,1,921627,43
39,2561,2,3,1,1964,Rural,Good,0,873250,61
40,741,4,1,3,1968,Downtown,Excellent,0,218393,57
41,2541,4,3,3,1950,Urban,Good,1,333453,75
42,3324,5,3,3,1921,Downtown,Good,0,986192,104
43,3112,4,3,1,1987,Suburban,Excellent,0,340320,38
44,1863,3,3,1,2006,Urban,Excellent,0,643167,19
45,1978,1,4,2,2008,Suburban,Good,1,641880,17
46,3056,5,1,1,2015,Urban,Good,1,396872,10
47,1275,3,1,2,2000,Downtown,Good,0,270084,25
48,4514,2,1,3,1952,Rural,Poor,0,976920,73
49,534,1,3,2,1999,Downtown,Poor,1,771782,26
50,3652,4,4,2,1935,Downtown,Fair,1,845016,90
51,2455,1,3,3,1967,Downtown,Poor,0,698843,58
52,2085,2,3,2,1935,Urban,Poor,1,405446,90
53,4443,5,1,1,1951,Rural,Excellent,0,958840,74
54,3573,5,3,1,1952,Suburban,Fair,0,593118,73
55,1521,5,2,1,1981,Downtown,Fair,1,266897,44
56,3961,4,3,1,1949,Urban,Poor,1,826522,76
57,3113,3,2,2,1979,Suburban,Excellent,0,913498,46
58,4343,3,3,2,1940,Downtown,Excellent,0,840023,85
59,2000,1,4,3,1917,Suburban,Fair,1,143878,108
60,661,4,4,2,1921,Downtown,Excellent,0,175407,104
61,4797,5,1,2,1965,Suburban,Good,1,691157,60
62,2481,5,3,2,1920,Suburban,Poor,1,307716,105
63,1495,2,2,3,1999,Rural,Good,1,857827,26
64,3842,2,2,1,1943,Rural,Fair,1,66738,82
65,4298,5,3,2,2002,Downtown,Fair,1,183703,23
66,1775,5,2,3,1946,Urban,Excellent,0,723265,79
67,1516,4,4,3,1938,Rural,Excellent,1,593344,87
68,837,3,2,3,1928,Suburban,Fair,1,815034,97
69,1378,2,1,1,1953,Rural,Fair,1,560241,72
70,1576,3,4,2,1989,Rural,Good,1,433800,36
71,4493,4,4,3,1984,Downtown,Good,1,689604,41
72,879,5,4,1,1916,Rural,Excellent,1,740807,109
73,992,3,3,3,1979,Rural,Good,1,628706,46
74,2562,5,3,3,1959,Suburban,Excellent,0,873622,66
75,4384,5,4,3,1930,Rural,Excellent,0,76014,95
76,564,1,3,3,2014,Suburban,Poor,0,778359,11
77,3068,3,2,3,1972,Rural,Excellent,0,813277,53
78,2527,3,3,1,1994,Rural,Good,1,231350,31
79,3195,5,3,2,1977,Urban,Fair,0,961995,48
80,1995,4,4,2,1948,Rural,Fair,1,838212,77
81,891,1,1,2,2000,Suburban,Good,0,534859,25
82,4974,5,1,2,1901,Suburban,Fair,0,764618,124
83,4061,2,1,1,2015,Downtown,Excellent,1,540339,10
84,2778,2,2,1,1947,Downtown,Fair,1,92192,78
85,3599,1,3,1,2009,Urban,Good,0,941307,16
86,700,4,1,3,1913,Suburban,Fair,0,411273,112
87,3604,5,4,3,1958,Suburban,Excellent,0,93923,67
88,2954,3,1,3,1996,Suburban,Excellent,0,663484,29
89,4145,1,1,2,1998,Urban,Good,1,576683,27
90,1304,4,3,3,1957,Suburban,Good,0,414593,68
91,3231,3,3,2,2002,Downtown,Good,0,433891,23
92,3273,2,3,3,1957,Urban,Poor,0,802744,68
93,2070,2,2,2,2010,Downtown,Poor,0,458995,15
94,3190,3,2,3,1950,Downtown,Excellent,0,645316,75
95,4340,1,1,3,1983,Urban,Poor,1,997226,42
96,1528,2,3,1,1901,Rural,Poor,1,450327,124
97,1002,5,1,3,2014,Rural,Fair,1,816751,11
98,4993,3,4,3,1940,Downtown,Poor,1,715344,85
99,1370,3,4,1,1982,Rural,Fair,1,929608,43
100,4988,2,3,2,2022,Suburban,Good,0,777688,3
101,706,1,3,1,2000,Urban,Fair,1,305315,25
102,1984,5,4,1,1981,Downtown,Fair,1,339068,44
103,1363,1,3,2,1915,Suburban,Good,0,495919,110
104,3290,4,2,3,1903,Rural,Good,1,344721,122
105,1063,4,2,2,1911,Suburban,Excellent,1,188783,114
106,4691,2,3,3,1928,Rural,Excellent,1,659836,97
107,2257,2,4,3,1906,Downtown,Excellent,1,307288,119
108,2178,2,1,2,1913,Suburban,Excellent,0,543085,112
109,3742,4,3,1,2018,Urban,Fair,0,545187,7
110,1559,1,3,2,1911,Downtown,Fair,1,699381,114
111,2222,1,1,3,1998,Suburban,Excellent,0,285835,27
112,3814,2,3,2,1904,Suburban,Poor,1,971600,121
113,3657,5,1,2,1980,Rural,Excellent,0,902987,45
114,3125,1,4,3,2021,Downtown,Poor,0,401992,4
115,3229,4,2,1,2005,Downtown,Good,0,256084,20
116,2097,3,4,2,1931,Downtown,Fair,0,844686,94
117,3560,3,2,3,1973,Downtown,Fair,0,437554,52
118,3193,3,1,3,1942,Rural,Poor,0,803315,83
119,4127,5,2,2,1980,Urban,Excellent,0,520336,45
120,1863,2,4,1,1968,Downtown,Fair,0,973469,57
121,2481,4,2,2,1944,Rural,Poor,0,258072,81
122,2163,5,1,1,2005,Urban,Good,0,298029,20
123,2029,4,2,1,1908,Urban,Good,0,259047,117
124,2538,4,3,1,1948,Rural,Fair,1,415169,77
125,3802,2,4,1,1932,Downtown,Excellent,0,180509,93
126,2737,3,3,2,1999,Urban,Poor,1,812072,26
127,1806,2,1,3,1999,Downtown,Fair,0,345107,26
128,4529,5,2,3,1917,Downtown,Good,1,577561,108
129,3175,5,3,3,1908,Suburban,Excellent,1,589618,117
130,1782,5,3,3,1961,Downtown,Poor,1,202566,64
131,1209,2,2,3,1956,Suburban,Fair,0,650710,69
132,4913,4,2,3,1928,Urban,Poor,0,958521,97
133,4248,4,4,2,2013,Rural,Excellent,0,53212,12
134,1163,1,3,1,1977,Suburban,Excellent,0,282131,48
135,2498,5,3,3,1924,Rural,Good,1,526657,101
136,3945,4,1,2,1914,Urban,Excellent,0,661882,111
137,4243,1,4,3,1905,Downtown,Fair,0,182152,120
138,1995,4,1,3,2019,Urban,Poor,0,344819,6
139,3804,5,3,1,1941,Rural,Excellent,0,72007,84
140,4263,3,1,1,1928,Urban,Excellent,0,688093,97
141,2353,5,3,1,1978,Downtown,Fair,0,394785,47
142,1791,2,3,3,1992,Urban,Poor,0,670103,33
143,4081,4,1,3,1903,Downtown,Poor,0,883247,122
144,3957,4,1,3,1981,Suburban,Good,1,919914,44
145,2136,2,2,1,2013,Rural,Good,1,837071,12
146,4196,2,2,2,1956,Downtown,Poor,0,375737,69
147,3499,3,2,3,1948,Downtown,Fair,0,562164,77
148,3652,4,3,3,1943,Urban,Fair,0,128038,82
149,1198,4,1,3,2002,Suburban,Good,0,406043,23
150,2660,3,4,2,1979,Downtown,Excellent,1,840168,46
151,4597,1,3,3,1974,Suburban,Fair,1,827794,51
152,1354,3,4,2,1913,Suburban,Excellent,0,66473,112
153,3974,5,1,3,1902,Urban,Fair,1,703059,123
154,2207,4,3,2,2014,Downtown,Poor,1,175801,11
155,3277,2,4,3,2013,Urban,Good,0,944030,12
156,2233,5,4,1,1961,Rural,Excellent,0,660911,64
157,4010,4,2,1,2005,Rural,Excellent,0,558252,20
158,702,3,2,1,1963,Downtown,Poor,1,275097,62
159,3755,5,2,1,2001,Suburban,Fair,1,348964,24
160,4718,4,3,3,1944,Downtown,Excellent,0,265933,81
161,4996,1,1,1,2005,Downtown,Fair,0,369733,20
162,1266,1,1,2,1981,Rural,Poor,1,771167,44
163,4889,2,2,1,1957,Rural,Good,1,330558,68
164,2827,4,2,1,1919,Suburban,Excellent,0,439522,106
165,3431,1,2,1,1957,Suburban,Fair,1,74220,68
166,697,3,4,3,2011,Downtown,Excellent,0,634819,14
167,2430,4,2,1,1988,Urban,Fair,0,422146,37
168,4082,3,4,2,1956,Downtown,Fair,1,557409,69
169,1108,3,1,1,2001,Suburban,Fair,1,747785,24
170,3772,1,3,1,1976,Urban,Poor,1,59387,49
171,1647,4,3,1,1967,Rural,Good,0,295752,58
172,4782,5,3,2,2018,Suburban,Excellent,0,651103,7
173,3897,1,3,1,1977,Suburban,Good,0,601872,48
174,3011,1,4,2,1996,Urban,Fair,0,619071,29
175,2294,4,4,2,1991,Suburban,Fair,0,745169,34
176,1159,4,2,1,1951,Suburban,Good,0,759687,74
177,3311,3,4,2,1936,Suburban,Good,1,698782,89
178,1869,4,2,3,1907,Suburban,Excellent,0,690102,118
179,2486,3,2,1,1943,Suburban,Fair,0,300139,82
180,646,1,3,1,1997,Suburban,Good,0,967184,28
181,3719,2,4,2,2007,Suburban,Poor,0,550228,18
182,3411,5,4,2,1904,Suburban,Fair,1,716217,121
183,2234,1,2,1,2017,Rural,Fair,0,747621,8
184,2343,4,2,3,1968,Suburban,Excellent,1,910020,57
185,988,5,1,2,1930,Rural,Poor,1,984499,95
186,3476,2,1,2,1944,Rural,Excellent,0,296509,81
187,2459,2,2,3,1908,Downtown,Poor,0,63580,117
188,2885,3,1,3,2005,Downtown,Excellent,1,592528,20
189,3419,5,1,1,1931,Rural,Poor,1,828639,94
